code,name
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
005935,삼성전자우
009150,삼성전기
005380,현대차
373220,LG에너지솔루션
032830,삼성생명
207940,삼성바이오로직스
105560,KB금융
000270,기아
028260,삼성물산
055550,신한지주
329180,HD현대중공업
012450,한화에어로스페이스
034020,두산에너빌리티
012330,현대모비스
034730,SK
068270,셀트리온
086790,하나금융지주
006400,삼성SDI
000810,삼성화재
035420,NAVER
066570,LG전자
267260,HD현대일렉트릭
010120,LS ELECTRIC
042660,한화오션
298040,효성중공업
009540,HD한국조선해양
005490,POSCO홀딩스
042700,한미반도체
316140,우리금융지주
006800,미래에셋증권
015760,한국전력
010130,고려아연
096770,SK이노베이션
138040,메리츠금융지주
010140,삼성중공업
000150,두산
017670,SK텔레콤
011200,HMM
033780,KT&G
051910,LG화학
064350,현대로템
024110,기업은행
079550,LIG디펜스앤에어로스페이스
010950,S-Oil
267250,HD현대
035720,카카오
011070,LG이노텍
018260,삼성에스디에스
003550,LG
196170,알테오젠
278470,에이피알
047810,한국항공우주
086280,현대글로비스
030200,KT
003670,포스코퓨처엠
071050,한국금융지주
272210,한화시스템
005940,NH투자증권
259960,크래프톤
000720,현대건설
247540,에코프로비엠
323410,카카오뱅크
086520,에코프로
307950,현대오토에버
005830,DB손해보험
0126Z0,삼성에피스홀딩스
003490,대한항공
016360,삼성증권
161390,한국타이어앤테크놀로지
443060,HD현대마린솔루션
352820,하이브
006260,LS
047050,포스코인터내셔널
036930,주성엔지니어링
039490,키움증권
003230,삼양식품
028050,삼성E&A
277810,레인보우로보틱스
078930,GS
180640,한진칼
090430,아모레퍼시픽
005387,현대차2우B
240810,원익IPS
021240,코웨이
353200,대덕전자
007660,이수페타시스
000880,한화
064400,LG씨엔에스
267270,HD건설기계
047040,대우건설
326030,SK바이오팜
032640,LG유플러스
241560,두산밥캣
138930,BNK금융지주
319660,피에스케이
000100,유한양행
004170,신세계
377300,카카오페이
058470,리노공업
029780,삼성카드
001440,대한전선
950160,코오롱티슈진
034220,LG디스플레이
062040,산일전기
175330,JB금융지주
271560,오리온
128940,한미약품
088980,맥쿼리인프라
036570,NC
000990,DB하이텍
009830,한화솔루션
028300,HLB
005385,현대차우
454910,두산로보틱스
000250,삼천당제약
039030,이오테크닉스
298380,에이비엘바이오
011790,SKC
222800,심텍
023530,롯데쇼핑
001040,CJ
088350,한화생명
082740,한화엔진
111770,영원무역
141080,리가켐바이오
095610,테스
066970,엘앤에프
051900,LG생활건강
010060,OCI홀딩스
002380,KCC
018880,한온시스템
052690,한전기술
004020,현대제철
440110,파두
403870,HPSP
214450,파마리서치
069960,현대백화점
084370,유진테크
214370,케어젠
001450,현대해상
000500,가온전선
347850,디앤디파마텍
131290,티에스이
011780,금호석유화학
031980,피에스케이홀딩스
035250,강원랜드
095340,ISC
383220,F&F
031210,서울보증보험
036460,한국가스공사
251270,넷마블
145020,휴젤
108490,로보티즈
336260,두산퓨얼셀
139130,iM금융지주
214150,클래시스
226950,올릭스
089970,브이엠
103590,일진전기
022100,포스코DX
080220,제주반도체
097950,CJ제일제당
302440,SK바이오사이언스
087010,펩트론
028670,팬오션
009420,한올바이오파마
012750,에스원
017800,현대엘리베이터
014680,한솔케미칼
310210,보로노이
011170,롯데케미칼
483650,달바글로벌
237690,에스티팜
279570,케이뱅크
450080,에코프로머티
026960,동서
161890,한국콜마
005850,에스엘
178320,서진시스템
081660,미스토홀딩스
009970,영원무역홀딩스
001720,신영증권
003690,코리안리
064760,티씨케이
000240,한국앤컴퍼니
004800,효성
007340,DN오토모티브
067310,하나마이크론
257720,실리콘투
006360,GS건설
375500,DL이앤씨
489790,한화비전
004990,롯데지주
357780,솔브레인
085620,미래에셋생명
008930,한미사이언스
005290,동진쎄미켐
007070,GS리테일
139480,이마트
282330,BGF리테일
005440,현대지에프홀딩스
263750,펄어비스
030000,제일기획
319400,현대무벡스
004370,농심
204320,HL만도
420770,기가비스
192820,코스맥스
018670,SK가스
281820,케이씨텍
051600,한전KPS
071970,HD현대마린엔진
290650,엘앤씨바이오
002790,아모레퍼시픽홀딩스
462870,시프트업
008770,호텔신라
089030,테크윙
140860,파크시스템스
098460,고영
475150,SK이터닉스
457190,이수스페셜티케미컬
068760,셀트리온제약
439260,대한조선
103140,풍산
00680K,미래에셋증권2우B
395400,SK리츠
032820,우리기술
020150,롯데에너지머티리얼즈
007810,코리아써키트
112610,씨에스윈드
073240,금호타이어
131970,두산테스나
000155,두산우
035900,JYP Ent.
000120,CJ대한통운
140410,메지온
007390,네이처셀
120110,코오롱인더
001740,SK네트웍스
010170,대한광통신
041510,에스엠
001800,오리온홀딩스
011210,현대위아
023590,다우기술
096530,씨젠
183300,코미코
006040,동원산업
058610,에스피지
020560,아시아나항공
006280,녹십자
001120,LX인터내셔널
069620,대웅제약
097230,HJ중공업
060370,LS마린솔루션
0009K0,에임드바이오
009155,삼성전기우
415640,KB발해인프라
089860,롯데렌탈
083650,비에이치아이
229640,LS에코에너지
082920,비츠로셀
192080,더블유게임즈
030530,원익홀딩스
043260,성호전자
007310,오뚜기
093370,후성
005070,코스모신소재
322000,HD현대에너지솔루션
003540,대신증권
218410,RFHIC
000815,삼성화재우
181710,NHN
012630,HDC
017960,한국카본
127120,제이에스링크
298020,효성티앤씨
078600,대주전자재료
082640,동양생명
294870,IPARK현대산업개발
004000,롯데정밀화학
361610,SK아이이테크놀로지
001430,세아베스틸지주
039200,오스코텍
003570,SNT다이내믹스
458870,씨어스
066575,LG전자우
323280,태성
030610,교보증권
195940,HK이노엔
003380,하림지주
166090,하나머티리얼즈
031330,에스에이엠티
057050,현대홈쇼핑
000080,하이트진로
496320,본시스템즈
300720,한일시멘트
077970,STX엔진
330590,롯데리츠
475830,오름테라퓨틱
003090,대웅
347700,스피어
000210,DL
195870,해성디에스
003240,태광산업
003530,한화투자증권
006340,대원전선
006120,SK디스커버리
491000,리브스메드
034230,파라다이스
